Event	ID	Name			Wwise Object Path	Notes
	411135019	Pistol_Fire			\Default Work Unit\Pistol\Pistol_Fire	
	1031558144	Enemy_Breathing			\Default Work Unit\Enemy\Enemy_Breathing	
	1068215004	Pistol_Reload			\Default Work Unit\Pistol\Pistol_Reload	
	1513352309	Enemy_Growl			\Default Work Unit\Enemy\Enemy_Growl	
	1866025847	Footstep			\Default Work Unit\Footstep	
	2383429734	Ambience_Loop			\Default Work Unit\Music\Ambience_Loop	
	3439186225	Player_Breathing			\Default Work Unit\Player\Player_Breathing	
	3481974498	Pistol_Empty			\Default Work Unit\Pistol\Pistol_Empty	
	3588687593	Portal_Shatter			\Default Work Unit\Portal_Shatter	
	3719100070	Player_Breathing_Fast			\Default Work Unit\Player\Player_Breathing_Fast	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\Footsteps\Terrain	
	640949982	Speed			\Default Work Unit\Footsteps\Speed	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	Terrain			
	2654748154	Water	Terrain			
	712161704	Run	Speed			
	2108779966	Walk	Speed			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	46347241	Player_Breathing	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Breathing Slow_10C4C929.wem		\Actor-Mixer Hierarchy\Player\Player_Breathing		5424364
	54167572	Pistol_Empty	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Player Dry Fire_10C4C929.wem		\Actor-Mixer Hierarchy\Pistol\Pistol_Empty		26584
	57405784	Player Gunshot 2	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Player Gunshot 2_10C4C929.wem		\Actor-Mixer Hierarchy\Pistol\Pistol_Fire\Player Gunshot 2		110316
	100016483	Water Walk 2	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Puddle Walk 2_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Water\Water Walk 2		63908
	125929144	Stone Walk 1	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 1_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 1		58856
	136537730	Stone Run 8	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Run 8_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Stone\Stone Run 8		49668
	141194102	Stone Run 6	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Run 6_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Stone\Stone Run 6		52424
	155955263	Water Run 3	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Puddle Run 3_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Water\Water Run 3		36808
	161862593	Stone Walk 8	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 8_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 8		73552
	182919169	Pistol_Reload	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Gun Reload _10C4C929.wem		\Actor-Mixer Hierarchy\Pistol\Pistol_Reload		223144
	198949424	Water Run 5	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Puddle Run 5_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Water\Water Run 5		51508
	214191590	Ambience_Loop	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Ambience_Soft_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\Ambience_Loop		22760192
	216726931	Stone Run 4	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Run 4_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Stone\Stone Run 4		53344
	217746939	Creature Growl 3	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Creature Growl 3_10C4C929.wem		\Actor-Mixer Hierarchy\Enemy\Enemy_Growl\Creature Growl 3		721100
	227760337	Stone Walk 5	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 5_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 5		45996
	331034854	Stone Walk 4	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 4_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 4		45076
	389754580	Stone Walk 2	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 2_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 2		60232
	411869344	Water Run 2	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Puddle Run 2_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Water\Water Run 2		58856
	435049652	Player Gunshot 5	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Player Gunshot 5_10C4C929.wem		\Actor-Mixer Hierarchy\Pistol\Pistol_Fire\Player Gunshot 5		176724
	438460245	Stone Walk 3	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Stone Walk 3_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Walk\Stone\Stone Walk 3		57936
	446973475	Creature Growl 4	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Creature Growl 4_10C4C929.wem		\Actor-Mixer Hierarchy\Enemy\Enemy_Growl\Creature Growl 4		509640
	447125995	Creature Growl 5	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Creature Growl 5_10C4C929.wem		\Actor-Mixer Hierarchy\Enemy\Enemy_Growl\Creature Growl 5		960288
	454244163	Water Run 8	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Puddle Run 8_10C4C929.wem		\Actor-Mixer Hierarchy\Footsteps\Speed\Run\Water\Water Run 8		51508
	481327356	Enemy_Breathing	Y:\Documents\GitHub\Applesauce-WWise\.cache\Mac\SFX\Creature Idle - Breathing_10C4C929.wem		\Actor-Mixer Hierarchy\Enemy\Enemy_Breathing		6927780
